month,total_folios_crore,equity_folios_crore,debt_folios_crore,hybrid_folios_crore,others_folios_crore,component_sum,total_check_ok
2022-01-01,13.26,9.28,1.86,0.8,1.33,13.27,True
2022-04-01,13.91,9.74,1.95,0.83,1.39,13.91,True
2022-07-01,13.85,9.69,1.94,0.83,1.38,13.84,True
2022-10-01,14.12,9.88,1.98,0.85,1.41,14.120000000000001,True
2023-01-01,14.81,10.37,2.07,0.89,1.48,14.81,True
2023-04-01,15.54,10.88,2.18,0.93,1.55,15.540000000000001,True
2023-07-01,16.28,11.4,2.28,0.98,1.63,16.29,True
2023-10-01,16.72,11.7,2.34,1.0,1.67,16.71,True
2024-01-01,17.78,12.45,2.49,1.07,1.78,17.79,True
2024-04-01,18.85,13.2,2.64,1.13,1.89,18.86,True
2024-07-01,19.98,13.99,2.8,1.2,2.0,19.99,True
2024-10-01,21.62,15.13,3.03,1.3,2.16,21.62,True
2024-12-01,22.89,16.02,3.2,1.37,2.29,22.88,True
2025-01-01,23.1,16.17,3.23,1.39,2.31,23.1,True
2025-03-01,23.45,16.42,3.28,1.41,2.35,23.460000000000004,True
2025-04-01,23.89,16.72,3.34,1.43,2.39,23.88,True
2025-07-01,24.57,17.2,3.44,1.47,2.46,24.57,True
2025-08-01,24.89,17.42,3.48,1.49,2.49,24.880000000000003,True
2025-09-01,25.19,17.63,3.53,1.51,2.52,25.19,True
2025-10-01,25.6,17.92,3.58,1.54,2.56,25.599999999999998,True
2025-12-01,26.12,18.28,3.66,1.57,2.61,26.12,True
