date,scheme_code,nav,daily_return,is_return_outlier,log_return,rolling_30d_vol,rolling_90d_vol,rolling_252d_vol,week52_high,week52_low,year,month,quarter,month_name,scheme_name,category,sub_category,amc_name,benchmark,risk_level
2021-06-04,120716,140.4804,,False,,,,,140.4804,140.4804,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-07,120716,140.3275,-0.0010884080626195614,False,-0.0010890008088138066,,,,140.4804,140.3275,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-08,120716,138.6922,-0.01165345352835312,False,-0.011721887196508225,,,,140.4804,138.6922,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-09,120716,138.2842,-0.002941766011354763,False,-0.0029461015097564554,,,,140.4804,138.2842,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-10,120716,138.9494,0.004810383254196804,False,0.004798850331069374,,,,140.4804,138.2842,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-11,120716,139.1643,0.0015466061746218784,False,0.001545411411019393,,,,140.4804,138.2842,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-14,120716,138.8476,-0.002275727323746035,False,-0.0022783207265041467,,,,140.4804,138.2842,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-15,120716,137.9699,-0.0063213192017723685,False,-0.006341383339234792,,,,140.4804,137.9699,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-16,120716,139.347,0.009981162557920253,False,0.00993167974648505,,,,140.4804,137.9699,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-17,120716,137.744,-0.011503656339928447,False,-0.011570335255320424,,,,140.4804,137.744,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-18,120716,137.5132,-0.0016755720757346548,False,-0.0016769774166779002,,,,140.4804,137.5132,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-21,120716,136.8931,-0.004509385280831224,False,-0.004519583227833166,,,,140.4804,136.8931,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-22,120716,137.405,0.003739414185229162,False,0.0037324399569498025,,,,140.4804,136.8931,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-23,120716,135.7093,-0.012340890069502453,False,-0.012417671205683802,,,,140.4804,135.7093,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-24,120716,135.2664,-0.003263593578332613,False,-0.003268930715182203,,,,140.4804,135.2664,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-25,120716,135.0348,-0.0017121768598854503,False,-0.0017136443099471195,,,,140.4804,135.0348,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-28,120716,134.5407,-0.003659056776475378,False,-0.003665767499668206,,,,140.4804,134.5407,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-29,120716,136.5737,0.015110669113510111,False,0.014997640159388276,,,,140.4804,134.5407,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-06-30,120716,138.5018,0.0141176522273323,False,0.014018926275888318,,,,140.4804,134.5407,2021,6,2,Jun,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-01,120716,138.7908,0.0020866154808094617,False,0.0020844415223454076,,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-02,120716,138.2669,-0.0037747458765278186,False,-0.0037818882090694507,0.12074077419727657,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-05,120716,138.8678,0.00434594252131193,False,0.0043365261851588165,0.11900859534218103,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-06,120716,139.0543,0.001343003921715713,False,0.0013421028985770261,0.11631206281435327,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-07,120716,139.7679,0.005131808221680245,False,0.00511868537069051,0.11512375373690018,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-08,120716,140.1698,0.0028754814231308767,False,0.00287135513457502,0.11303226630642056,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-09,120716,139.3519,-0.00583506575596171,False,-0.005852156267417303,0.11215704908780735,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-12,120716,137.2475,-0.015101336974953306,False,-0.015216523280194214,0.11916296199369894,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-13,120716,137.8155,0.004138508898158255,False,0.0041299688242147446,0.1178456789042191,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-14,120716,137.2619,-0.004016964710065185,False,-0.0040250543840302175,0.11607460144482153,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-15,120716,136.7059,-0.004050650617541951,False,-0.0040588767243256866,0.11438466704557701,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-16,120716,135.2163,-0.010896384135578807,False,-0.0109561845313456,0.11605939298892305,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-19,120716,137.7233,0.0185406641063246,False,0.018370881372577287,0.12946124634668252,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-20,120716,138.711,0.007171626006638121,False,0.00714603219018309,0.12695722530008874,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-21,120716,138.6834,-0.00019897484698405687,False,-0.00019899464510518533,0.12664681453290147,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-22,120716,139.9488,0.009124379702257102,False,0.009083004044145165,0.12863472541648363,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-23,120716,140.0309,0.0005866431151964058,False,0.0005864711073922771,0.12858205630009517,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
2021-07-26,120716,140.4031,0.0026579847733607664,False,0.0026544585788319183,0.12853880329348766,,,140.4804,134.5407,2021,7,3,Jul,UTI Nifty Index Fund - Regular Plan - Growth,Index,Large Cap Index,UTI MF,Nifty 50 TRI,Moderate
