2026-06-04 11:45:11 | INFO     | etl_pipeline | Mode: SYNTHETIC
2026-06-04 11:45:11 | INFO     | etl_pipeline | SQLite schema initialised: /Users/tokalapranav/Desktop/bluestock_mf_capstone/datasets/db/bluestock_mf.db
2026-06-04 11:45:12 | INFO     | etl_pipeline | ETL Pipeline initialised  [source=synthetic, funds=19]
2026-06-04 11:45:12 | INFO     | etl_pipeline | ============================================================
2026-06-04 11:45:12 | INFO     | etl_pipeline | ETL PIPELINE START  2026-06-04T11:45:12.000586
2026-06-04 11:45:12 | INFO     | etl_pipeline | ============================================================
2026-06-04 11:45:12 | INFO     | etl_pipeline | fund_master loaded: 19 funds
2026-06-04 11:45:12 | INFO     | etl_pipeline | Loading 10 benchmark series
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty 100 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for BSE 100 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty Midcap 150 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty Smallcap 250 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty 500 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for CRISIL Short Term Bond TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for CRISIL Corporate Bond Composite TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty 50 Hybrid Composite Debt 65:35 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty 50 TRI
2026-06-04 11:45:12 | INFO     | etl_pipeline | benchmark_nav loaded: 1305 rows for Nifty Liquid Index
2026-06-04 11:45:12 | INFO     | etl_pipeline | Combined CSV saved: benchmark_nav.csv (13050 rows, 3 cols)
2026-06-04 11:45:12 | INFO     | etl_pipeline | [1/19] Processing: Mirae Asset Large Cap Fund - Regular Plan - Growth (120503)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=120503
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_120503.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_120503.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 120503
2026-06-04 11:45:12 | INFO     | etl_pipeline | [2/19] Processing: Axis Bluechip Fund - Regular Plan - Growth (100033)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=100033
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_100033.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_100033.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 100033
2026-06-04 11:45:12 | INFO     | etl_pipeline | [3/19] Processing: HDFC Top 100 Fund - Regular Plan - Growth (101206)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=101206
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_101206.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_101206.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 101206
2026-06-04 11:45:12 | INFO     | etl_pipeline | [4/19] Processing: Kotak Emerging Equity Fund - Regular Plan - Growth (118989)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=118989
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_118989.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_118989.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 118989
2026-06-04 11:45:12 | INFO     | etl_pipeline | [5/19] Processing: Axis Midcap Fund - Regular Plan - Growth (120465)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=120465
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_120465.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_120465.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 120465
2026-06-04 11:45:12 | INFO     | etl_pipeline | [6/19] Processing: HDFC Mid-Cap Opportunities Fund - Regular Plan - G (100270)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=100270
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_100270.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_100270.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 100270
2026-06-04 11:45:12 | INFO     | etl_pipeline | [7/19] Processing: Axis Small Cap Fund - Regular Plan - Growth (125497)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=125497
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_125497.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_125497.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 125497
2026-06-04 11:45:12 | INFO     | etl_pipeline | [8/19] Processing: SBI Small Cap Fund - Regular Plan - Growth (120828)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=120828
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_120828.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_120828.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 120828
2026-06-04 11:45:12 | INFO     | etl_pipeline | [9/19] Processing: Parag Parikh Flexi Cap Fund - Regular Plan - Growt (120586)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=120586
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_120586.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_120586.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 120586
2026-06-04 11:45:12 | INFO     | etl_pipeline | [10/19] Processing: ICICI Prudential Flexicap Fund - Growth (100119)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=100119
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_100119.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_100119.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 100119
2026-06-04 11:45:12 | INFO     | etl_pipeline | [11/19] Processing: Axis Long Term Equity Fund - Regular Plan - Growth (100425)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=100425
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_100425.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_100425.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 100425
2026-06-04 11:45:12 | INFO     | etl_pipeline | [12/19] Processing: HDFC Short Term Debt Fund - Regular Plan - Growth (119551)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=119551
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_119551.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_119551.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 119551
2026-06-04 11:45:12 | INFO     | etl_pipeline | [13/19] Processing: ICICI Prudential Corporate Bond Fund - Growth (100024)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=100024
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_100024.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_100024.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 100024
2026-06-04 11:45:12 | INFO     | etl_pipeline | [14/19] Processing: HDFC Balanced Advantage Fund - Regular Plan - Grow (101539)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=101539
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_101539.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_101539.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 101539
2026-06-04 11:45:12 | INFO     | etl_pipeline | [15/19] Processing: ICICI Prudential Equity & Debt Fund - Growth (118701)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Generating synthetic NAV for scheme_code=118701
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Raw CSV saved: nav_raw_118701.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | Processed CSV saved: nav_processed_118701.csv (1305 rows)
2026-06-04 11:45:12 | DEBUG    | etl_pipeline | nav_history: 1305 rows inserted for scheme 118701
2026-06-04 11:45:12 | INFO     | etl_pipeline | [16/19] Processing: UTI Nifty Index Fund - Regular Plan - Growth (120716)
